"Facility_name","District","Latitude","Longitude","Ownership","Medical_Doctor","Clinical_Officer","Nurses_nurseAssist","Lab_tech","Lab_assist","Microscopist","Elec_micro","Nat_micro","Centrifuge","Microscope_slides","Capillary_Tubes","Fields_Giemsa","CATT","SS_Treat","Dist_km_toTreat","Name_treat","Energy_source","Water_source","Role","Active2014","Active.2015","RDT_used_14","RDT_pos_14","RDT_used_15","RDT_pos_15"
"Ayipe HCIII","Koboko",3.55452,30.92069,"Government",0,1,2,0,0,0,"No","No","No","No","No","No","No","No",51,"Omugo HCIV","No electricity","Rain water","RDT","Yes","Yes",253,1,34,1
"Ayiri HCII","Adjumani",3.25227,31.58364333,"Private",0,2,6,0,2,0,"No","Yes","No","Yes","No","Yes","No","No",24,"Adjumani Hospital","No electricity","Piped water","RDT","No","Yes",0,0,0,0
"Ayivuni HCII","Arua",3.09984,30.82594,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",60,"Omugo HCIV","Solar","Bore hole","RDT","Yes","No",10,1,0,0
"Bamure HCII","Koboko",3.49307,31.0777,"Government",0,0,2,0,0,0,"No","No","No","No","No","No","No","No",23,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",199,5,124,7
"Barakala HCII","Yumbe",3.4897,31.33885,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",12,"Yumbe Hosp","Solar","Bore hole","RDT","Yes","Yes",31,0,20,0
"Belameling HCII","Moyo",3.47612,31.61131,"Government",0,0,3,0,0,0,"No","No","No","No","No","No","No","No",15,"Moyo Hosp","Solar","Bore hole","RDT","Yes","Yes",32,0,18,0
"Besia HCII","Moyo",3.64888,31.71814,"Government",0,1,4,0,0,0,"No","No","No","No","No","No","No","No",1,"Moyo Hosp","No electricity","Bore hole","RDT","Yes","Yes",20,0,49,2
"Bibia HCIII","Amuru",3.47246,32.06737,"Government",0,1,11,1,1,0,"Yes","No","No","Yes","Yes","Yes","No","No",30,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","Yes",21,0,12,0
"Bileafe HCIII","Arua",3.10622,31.08472,"Government",0,0,2,0,0,1,"No","Yes","No","Yes","Yes","Yes","No","No",15,"Omugo HCIV","Solar","Bore hole","RDT","Yes","Yes",123,5,47,5
"Bira HCII","Amuru",3.06495,32.10827,"Government",0,0,4,0,0,0,"No","No","No","No","No","No","No","No",,"Adjumani Hospital","Solar","Bore hole","RDT","Yes","No",2,0,0,0
